institute_▲▼,opening_rank_▲▼,closing_rank_▲▼,category_▲▼,round_▲▼,program_▲▼,stream_▲▼,seat_type_▲▼,quota_▲▼
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",10119,17010,Open,Round 1,Applied Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",27162,29276,OBC - A,Round 1,Applied Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",17840,21468,OBC - B,Round 1,Applied Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",22213,34421,EWS,Round 1,Applied Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Haldia Institute of Technology, Haldia, Purba Medinipur",36903,106802,SC,Round 1,Applied Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Heritage Institute of Technology, Kolkata",100284,112796,Open,Round 1,Applied Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
Jadavpur University,2440,2644,Tuition Fee Waiver,Round 1,Food Technology And Bio Chemical Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno International New Town, Rajarhat, New Town",164589,271761,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Techno Main Salt Lake, Sector-V, Salt Lake",5317,8446,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Elitte College of Engineering,Mahispota, Sodepur",39631,101431,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Narula Institute of Technology, Agarpara, Kolkata",35645,36360,SC,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Netaji Subhas Engineering College, Garia, Kolkata",85612,153062,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Rcc Institute of Information Technology, Kolkata",4868,30449,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",444043,1337992,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",14096,17610,SC,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",264016,1139991,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Guru Nanak Institute of Technology, Panihati, Sodepur",1027,40033,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Haldia Institute of Technology, Haldia, Purba Medinipur",2013,10025,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
University Of Calcutta,4610,5697,EWS,Round 1,Polymer Science & Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Narula Institute of Technology, Agarpara, Kolkata",99687,105440,SC,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Regent Education and Research Foundation, Barasat, Kolkata",98873,98873,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Cooch Behar Government Engineering College, Cooch Behar",14387,21275,SC,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"B.P. Poddar Institute of Management & Technology, Kolkata",21308,64619,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Calcutta Institute of Engineering & Management, Tollygunge, Kolkata",101291,247614,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",68618,82471,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Global Institute of Management and Technology, Krishnanagar, Nadia",42625,100180,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Guru Nanak Institute of Technology, Panihati, Sodepur",427707,1067532,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Om Dayal Group of Institutions, Uluberia, Howrah",921142,921142,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Siliguri Institute of Technology, Siliguri",236937,570640,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Cooch Behar Government Engineering College, Cooch Behar",13542,24130,EWS,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Cooch Behar Government Engineering College, Cooch Behar",95814,95814,Open (PwD),Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",15347,19381,OBC - A,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,1375,2088,Open,Round 1,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Institute of Pharmacy, Jalpaiguri",4696,10001,SC,Round 1,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State
"Institute of Pharmacy, Jalpaiguri",414,3274,Open,Round 1,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State
Jadavpur University,28618,28618,Open (PwD),Round 1,B.Pharm/Pharmaceutical Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",19392,19392,OBC - B,Round 1,Civil And Environmental Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Hemnalini Memorial College of Engineering, Haringhata",69218,74018,Open,Round 1,Civil And Environmental Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",59252,72055,ST,Round 1,Civil And Environmental Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",99391,112589,Open,Round 1,Civil And Environmental Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",22720,32601,SC,Round 1,Civil And Environmental Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",6313,18672,Open,Round 1,Civil And Environmental Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",94200,94200,Open (PwD),Round 1,Civil And Environmental Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",21009,26765,OBC - A,Round 1,Civil And Environmental Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno India University, Salt Lake",23142,100843,Open,Round 1,B ARCH,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,3456,3921,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Budge Budge Institute of Technology, Budge-Budge",19601,33522,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Nshm Knowledge Campus, Durgapur Group of Institutions",21188,37308,Tuition Fee Waiver,Round 1,Computer Science & Engineering (Artificial Intelligence) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Swami Vivekananda University,22050,109949,Open,Round 1,Data Science,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Meghnad Saha Institute of Technology, Kolkata",14348,15551,Tuition Fee Waiver,Round 1,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno International New Town, Rajarhat, New Town",18476,18476,Tuition Fee Waiver,Round 1,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Netaji Subhas Engineering College, Garia, Kolkata",12025,12525,Tuition Fee Waiver,Round 1,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sister Nivedita University, New Town",25055,30301,Tuition Fee Waiver,Round 1,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,41161,42268,ST,Round 1,PRINTING ENGINEERING,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Haldia Institute of Technology, Haldia, Purba Medinipur",22235,54414,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Haldia Institute of Technology, Haldia, Purba Medinipur",57337,96964,OBC - A,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Mallabhum Institute of Technology, Bishnupur, Bankura",54700,78990,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Narula Institute of Technology, Agarpara, Kolkata",404504,1228736,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Govt. College of Engg. & Textile Technology, Berhampore",21791,26351,SC,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",6885,11036,OBC - A,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",46215,51239,ST,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Haldia Institute of Technology, Haldia, Purba Medinipur",63315,63315,ST,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Hooghly Engineering & Technology College, Hooghly",39717,110108,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Dr. B. C. Roy Engineering College, Durgapur",21175,104490,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Jis College of Engineering, Kalyani, Nadia",55598,109713,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Meghnad Saha Institute of Technology, Kolkata",466763,1255501,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Seacom Engineering College, Sankrail, Howrah",31921,31921,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Narula Institute of Technology, Agarpara, Kolkata",136578,300506,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",501918,746619,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",67790,67790,EWS,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno India University, Salt Lake",7042,27068,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",3059,9944,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
University Of Calcutta,4378,5323,OBC - B,Round 1,Polymer Science & Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",20795,23033,OBC - A,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Swami Vivekananda University,17017,110636,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Kalyani Goverment Engineering College, Kalyani, Nadia",1117,2210,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Academy of Technology, Adisaptagram, Hooghly",61440,81257,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Heritage Institute of Technology, Kolkata",9593,9593,SC,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ideal Institute of Engineering, Kalyani",461854,1049006,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Murshidabad College of Engineering & Technology, Murshidabad",400773,852394,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
University Of Calcutta,2587,3907,Open,Round 1,Jute & Fibre Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
University Of Calcutta,4819,7067,Open,Round 1,Jute & Fibre Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,13120,19166,SC,Round 1,Jute & Fibre Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,14074,18845,OBC - A,Round 1,Jute & Fibre Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,12697,13278,OBC - A,Round 1,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,11735,12799,SC,Round 1,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,1449,1464,Open,Round 1,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
University Of Calcutta,40960,40960,ST,Round 1,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,3594,5235,EWS,Round 1,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,4511,4511,OBC - B,Round 1,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,1547,2363,Open,Round 1,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,12791,15640,SC,Round 1,Polymer Science & Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Abacus Institute of Engineering & Management, Mogra, Hooghly",60559,60559,OBC - B,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"B.P. Poddar Institute of Management & Technology, Kolkata",240707,281849,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Calcutta Institute of Engineering & Management, Tollygunge, Kolkata",12068,97333,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Camellia Institute of Technology, Badu Road, Madhyamgram",94583,94583,SC,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",584196,584196,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Narula Institute of Technology, Agarpara, Kolkata",299885,612055,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Global Institute of Management and Technology, Krishnanagar, Nadia",147102,147102,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Guru Nanak Institute of Technology, Panihati, Sodepur",18857,105983,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Narula Institute of Technology, Agarpara, Kolkata",8904,92100,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
Jadavpur University,1818,3327,SC,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engg. & Textile Technology, Berhampore",64656,68732,ST,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jis College of Engineering, Kalyani, Nadia",236952,921061,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Nshm Knowledge Campus, Durgapur Group of Institutions",1362821,1362821,Open,Round 1,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Meghnad Saha Institute of Technology, Kolkata",13415,43958,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Asansol Engineering College, Asansol, Burdwan",58791,58791,EWS,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",35804,43537,ST,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Asansol Engineering College, Asansol, Burdwan",3481,245209,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
